_id,School_Number,School_Name,School_Type,Suburb,Post_Code,Latitude,Longitude,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0102,East Murray Area School,Primary Education,Mindarie,5309,-34.739441,140.136181,55.6,47.7,42.8,40.5,39.4,36.8,29.8,24.8,19.8,12.5,,,,,
2,0104,Coromandel Valley Primary School,Primary Education,Coromandel Valley,5051,-35.033562,138.626758,425,423,456,477,484,444,435,448,447,458,472,468,491,459,465
3,0106,Cowandilla Primary School,Primary Education,Cowandilla,5033,-34.93416,138.559877,274,289,297,332,344,377,384,428,443,436,451,465,430,400,376
4,0107,Crafers Primary School,Primary Education,Crafers,5152,-34.993387,138.71348,270,284,287,285,292,295,308,317,334,312,302,286,272,219,209
5,0111,Crystal Brook Primary School,Primary Education,Crystal Brook,5523,-33.352948,138.213543,192,169,155,165,181.5,184,183,179,181,177,181,167,160,130,115
6,0114,Curramulka Primary School,Primary Education,Curramulka,5580,-34.696257,137.713037,48,47,36,39,39,23,18,23,29,30,26,24,24,23,18
7,0116,Murray Bridge Special School,Special Education,Murray Bridge,5253,-35.116608,139.271452,39,46,40,24,21.4,23.4,21,19,26,25,22,23,20,20,21
8,0120,Gilles Street Primary School,Primary Education,Adelaide,5000,-34.93449,138.604464,356,330,348,369,353,383,355,350,387,396,403,374,309,350,336
9,0121,East Adelaide Primary School,Primary Education,St Peters,5069,-34.90564,138.627346,315,310.2,,,,,,,,,,,,,
10,0123,Echunga Primary School,Primary Education,Echunga,5153,-35.097706,138.79085,115,99,93,78,75,71,72,72,75,84,77,89,102,106,130
11,0124,Eden Hills Primary School,Primary Education,Eden Hills,5050,-35.020546,138.595317,245,246.4,235.4,258,261,257.6,264.4,275.9,281.4,272,284,264,253,231,244
12,0126,Edithburgh Primary School,Primary Education,Edithburgh,5583,-35.080318,137.744208,59,53,49,28,14,12,13,9,,,,,,,
13,0127,Edwardstown Primary School,Primary Education,Melrose Park,5039,-34.978729,138.57801,342,349,316,318,366,361.8,380,389,428,465,503,515,526,512,516
14,0128,Elliston Area School,Primary/Secondary Combined,Elliston,5670,-33.644153,134.892451,68.8,69.3,62.5,66,64,58,63,60,67.9,67,72,75,69,69.5,72
15,0131,Norwood Primary School,Primary Education,Norwood,5067,-34.918748,138.631451,291,300,324,348,377,368,388,403,407,424,427,428,407,352,358
